Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price ZAR,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url,Product Image 3 Url,Product Image 4 Url,Product Image 5 Url
blackberry-ice,Blackberry Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_b2144c671f804fb78ae81650486c864a~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_b2144c671f804fb78ae81650486c864a~mv2.webp,,,,
berry-grape,Berry Grape,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_3135ff471a8e405bb5c152490e859218~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_3135ff471a8e405bb5c152490e859218~mv2.webp,,,,
caribbean-mango,Caribbean Mango,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_222401c161f14f8c8b2808c1e7d0e13e~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_222401c161f14f8c8b2808c1e7d0e13e~mv2.webp,,,,
cherry-peach-raspberry,Cherry Peach Raspberry,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_b2807ea5a89048e1b57c47089788ca66~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_b2807ea5a89048e1b57c47089788ca66~mv2.webp,,,,
fizzy-cherry,Fizzy Cherry,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_47bfce5a06644867a69dfb1f102d4ef7~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_47bfce5a06644867a69dfb1f102d4ef7~mv2.webp,,,,
passion-fruit,Passion Fruit,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_3057c9f01a784911a81433e2815087f6~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_3057c9f01a784911a81433e2815087f6~mv2.webp,,,,
lychee,Lychee,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_d703b461a35b4a43848e1c3371866471~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_d703b461a35b4a43848e1c3371866471~mv2.webp,,,,
grape-ice,Grape Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_81839d1594a24a6d8e8183f3470397b2~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_81839d1594a24a6d8e8183f3470397b2~mv2.webp,,,,
peach-ice,Peach Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_a51624fff50f41a69be44f83d51ed237~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_a51624fff50f41a69be44f83d51ed237~mv2.webp,,,,
pineapple-ice,Pineapple Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_9c26df833ed14c0482ca724b8c6e5f9b~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty-dispensary,,,TRUE,,Default,Vape-Nasty-DX1.2,,FALSE,TRUE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_9c26df833ed14c0482ca724b8c6e5f9b~mv2.webp,,,,
