Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price ZAR,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url
blackberry-ice,Blackberry Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_b2144c671f804fb78ae81650486c864a~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_e9014b08-01a9-0eab-d76b-03ae47813de7,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_b2144c671f804fb78ae81650486c864a~mv2.webp
berry-grape,Berry Grape,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_3135ff471a8e405bb5c152490e859218~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_dc3c5fbf-a01b-b976-bfec-38f66c6f3608,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_3135ff471a8e405bb5c152490e859218~mv2.webp
caribbean-mango,Caribbean Mango,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_222401c161f14f8c8b2808c1e7d0e13e~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_15d0e8ab-f488-7577-2aa9-4f580807c369,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_222401c161f14f8c8b2808c1e7d0e13e~mv2.webp
cherry-peach-raspberry,Cherry Peach Raspberry,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_b2807ea5a89048e1b57c47089788ca66~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_693e8848-c38b-fee1-afdb-f3da8593ff62,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_b2807ea5a89048e1b57c47089788ca66~mv2.webp
fizzy-cherry,Fizzy Cherry,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_47bfce5a06644867a69dfb1f102d4ef7~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_392688ea-68e8-48c0-c14e-d462bd301b81,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_47bfce5a06644867a69dfb1f102d4ef7~mv2.webp
passion-fruit,Passion Fruit,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_3057c9f01a784911a81433e2815087f6~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_6d777e62-abb8-141e-6da8-72e6ea9b5199,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_3057c9f01a784911a81433e2815087f6~mv2.webp
lychee,Lychee,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_d703b461a35b4a43848e1c3371866471~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_e4a2be42-5955-9305-072f-1fa541fcd74a,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_d703b461a35b4a43848e1c3371866471~mv2.webp
grape-ice,Grape Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_81839d1594a24a6d8e8183f3470397b2~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_6f0ceb76-aede-867e-022b-59dc0fd2bbec,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_81839d1594a24a6d8e8183f3470397b2~mv2.webp
peach-ice,Peach Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_a51624fff50f41a69be44f83d51ed237~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_41e58741-e0bd-56f0-0b5a-c8e1e1dd478b,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_a51624fff50f41a69be44f83d51ed237~mv2.webp
pineapple-ice,Pineapple Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_9c26df833ed14c0482ca724b8c6e5f9b~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_9e69e8a4-a654-22f8-d78e-3feedea16fbf,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_9c26df833ed14c0482ca724b8c6e5f9b~mv2.webp
